"CODE";"NAME";"DESCRIPTION"
"DA_CREATION_DESPATCHER";"DespatchAdvice created by despatcher";"Despatch advice created by the dispatcher"
"DA_CREATION_SELLER";"DespatchAdvice created by seller";"Despatch advice created by the seller"
"DA_CREATION_DRIVER";"DespatchAdvice created by driver";"Despatch advice created by the driver"
"RA_CREATION_DRIVER";"ReceiptAdvice created by driver";"Receipt advice created by the driver"
"RA_CREATION_RECEIVER";"ReceiptAdvice created by receiver";"Receipt advice created by the receiver"
"RA_CREATION_RECEIVER_PAPER";"ReceiptAdvice created by receiver from paper";"Paper-based receipt advice created by the receiver"
"RA_CREATION_DRIVER_PAPER";"ReceiptAdvice created by driver from paper";"Paper-based receipt advice created by the driver"
