"CODE";"NAME";"DESCRIPTION"
"DA_CREATION_DESPATCHER";"Lieferschein, ausgestellt vom Versender";"Lieferschein, erstellt durch den Versender"
"DA_CREATION_SELLER";"Lieferschein, ausgestellt vom  Verkäufer";"Lieferschein, erstellt durch den Verkäufer"
"DA_CREATION_DRIVER";"Lieferschein, ausgestellt vom Fahrer";"Lieferschein, erstellt vom Fahrer"
"RA_CREATION_DRIVER";"Empfangsbestätigung, ausgestellt vom Fahrer";"Bestätigung, erstellt vom Fahrer"
"RA_CREATION_RECEIVER";"Empfangsbestätigung, ausgestellt vom Empfänger";"Elektronische Bestätigung des Wareneingangs durch den Empfänger"
"RA_CREATION_RECEIVER_PAPER";"Empfangsbestätigung, ausgestellt vom Empfänger (Papier)";"Papierbasierte Empfangsbestätigung durch den Empfänger"
"RA_CREATION_DRIVER_PAPER";"Empfangsbestätigung, ausgestellt vom Fahrer (Papier)";"Papierbasierte Empfangsbestätigung durch den Fahrer"
