"CODE";"NAME";"DESCRIPTION"
"SIGNATORY_PARTY";"Creator";"Creator of the document."
"SELLER_SUPPLIER_PARTY";"Seller";"Seller of the document."
"DESPATCH_SUPPLIER_PARTY";"Dispatcher";"Dispatcher of the document."
"BUYER_CUSTOMER_PARTY";"Buyer";"Buyer of the document."
"DELIVERY_CUSTOMER_PARTY";"Recipient";"Recipient of the document."
"DELIVERY_PARTY";"Delivery Location";"Delivery location of the document."
"CARRIER_PARTY";"Carrier";"Carrier of the document."
"ORIGINATOR_CUSTOMER_PARTY";"Client";"Client of the document."
