"CODE";"NAME";"DESCRIPTION"
"SIGNATORY_PARTY";"Ersteller";"Ersteller des Dokuments."
"SELLER_SUPPLIER_PARTY";"Verkäufer";"Verkäufer des Dokuments."
"DESPATCH_SUPPLIER_PARTY";"Versender";"Versender des Dokuments."
"BUYER_CUSTOMER_PARTY";"Käufer";"Käufer des Dokuments."
"DELIVERY_CUSTOMER_PARTY";"Empfänger";"Empfänger des Dokuments."
"DELIVERY_PARTY";"Empfangsstelle";"Empfangsstelle des Dokuments."
"CARRIER_PARTY";"Transporteur";"Transporteur des Dokuments."
"ORIGINATOR_CUSTOMER_PARTY";"Auftraggeber";"Auftraggeber des Dokuments."
